日付,曜日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),1時間降水量の最大(mm),日照時間(時間),合計全天日射量(MJ/㎡),平均風速(m/s),最大風速(m/s),最大風速(m/s).1,平均蒸気圧(hPa),平均湿度(％),最小相対湿度(％),平均雲量(10分比),降雪量合計(cm)
2024/4/1,月,14.6,19.7,11.8,3.0,2.5,3.8,14.85,2.8,6.3,南東,11.9,73.0,53.0,6.0,0.0
2024/4/2,火,14.2,20.6,8.4,0.0,0.0,10.6,22.3,3.0,6.1,南,8.2,50.0,27.0,5.0,0.0
2024/4/3,水,13.9,16.6,12.3,11.5,3.0,0.0,4.58,1.6,3.9,南東,13.0,83.0,57.0,10.0,0.0
2024/4/4,木,15.4,19.9,11.3,4.0,3.5,0.1,9.27,2.0,4.7,北西,13.6,79.0,51.0,10.0,0.0
2024/4/5,金,11.4,15.1,9.0,0.5,0.5,0.0,2.97,2.8,4.9,北東,9.6,71.0,47.0,10.0,0.0
2024/4/6,土,12.7,15.8,9.0,0.0,0.0,0.0,8.84,1.8,3.5,北西,12.0,81.0,66.0,10.0,0.0
2024/4/8,月,18.8,23.2,15.4,0.0,0.0,2.3,12.9,2.0,5.6,南東,18.2,85.0,61.0,10.0,0.0
2024/4/9,火,15.6,19.8,9.7,55.5,12.5,0.0,2.41,4.4,11.0,南,14.6,78.0,43.0,9.3,0.0
2024/4/10,水,11.7,17.8,7.4,0.0,0.0,11.9,26.41,3.2,6.1,南南東,6.3,47.0,23.0,2.8,0.0
2024/4/11,木,14.0,19.8,7.7,0.0,0.0,9.3,22.75,2.5,5.9,南,9.7,62.0,44.0,6.3,0.0
2024/4/12,金,15.0,18.2,12.8,2.5,2.5,1.8,11.53,2.3,4.5,北東,12.5,73.0,57.0,8.0,0.0
2024/4/13,土,16.4,22.7,11.1,0.0,0.0,10.5,21.47,2.3,4.2,東南東,12.4,68.0,40.0,6.5,0.0
2024/4/15,月,19.4,26.8,14.0,0.0,0.0,11.4,24.15,2.8,5.5,南,14.0,65.0,30.0,4.8,0.0
2024/4/16,火,19.2,23.4,15.9,0.0,0.0,6.5,19.85,5.3,10.4,南,14.5,66.0,51.0,6.0,0.0
2024/4/17,水,20.1,25.5,16.5,0.0,0.0,5.5,18.23,3.0,6.6,南南西,16.4,70.0,51.0,6.8,0.0
2024/4/18,木,17.9,21.4,14.3,1.5,1.0,0.3,10.09,2.7,4.5,北東,13.6,67.0,48.0,10.0,0.0
2024/4/19,金,18.3,23.6,14.1,0.0,0.0,11.6,26.08,5.6,10.6,北西,9.4,46.0,28.0,2.5,0.0
2024/4/20,土,19.4,26.1,12.7,0.0,0.0,8.9,20.88,2.5,5.1,南,10.5,48.0,23.0,7.5,0.0
2024/4/22,月,15.6,18.6,13.2,7.0,2.0,0.1,5.17,2.2,3.7,北西,15.8,89.0,67.0,10.0,0.0
2024/4/23,火,16.9,19.4,14.8,0.0,0.0,0.5,5.48,2.1,4.3,東,15.7,82.0,72.0,9.8,0.0
2024/4/24,水,15.0,16.5,13.9,20.5,3.5,0.0,3.16,2.1,5.0,北西,16.0,94.0,73.0,10.0,0.0
2024/4/25,木,19.5,25.8,13.8,0.5,1.0,9.8,25.24,2.2,4.9,北西,17.4,78.0,55.0,4.8,0.0
2024/4/26,金,20.3,25.1,15.1,0.0,0.0,2.5,15.66,2.4,5.2,南東,17.2,72.0,48.0,7.8,0.0
2024/4/27,土,19.5,23.2,16.6,0.0,0.0,0.0,8.77,1.9,4.5,南南東,18.8,84.0,54.0,10.0,0.0
2024/4/29,月,21.2,25.8,17.4,0.0,0.0,8.0,18.94,3.7,7.6,南,19.8,80.0,56.0,10.0,0.0
2024/4/30,火,20.9,25.2,18.2,2.5,2.5,1.5,11.93,2.4,5.2,南南東,20.7,84.0,64.0,9.5,0.0
2024/5/1,水,16.5,21.2,11.8,26.5,6.0,0.0,2.83,3.0,7.0,東北東,17.4,92.0,71.0,9.8,0.0
2024/5/2,木,15.3,21.7,10.8,3.0,1.5,7.7,22.5,2.9,5.3,北東,11.7,70.0,35.0,6.3,0.0
2024/5/3,金,17.7,24.2,11.4,0.0,0.0,12.4,28.42,2.6,5.5,南東,12.3,63.0,34.0,0.5,0.0
2024/5/4,土,20.9,27.8,14.8,0.0,0.0,12.4,27.87,2.4,5.5,南,13.0,57.0,19.0,0.0,0.0
2024/5/6,月,20.9,23.6,19.1,0.0,0.0,0.9,9.66,5.7,8.3,南,16.9,68.0,59.0,9.0,0.0
2024/5/7,火,20.0,22.2,18.6,5.0,2.0,0.0,4.98,4.1,7.5,南,20.6,88.0,72.0,9.8,0.0
2024/5/8,水,17.8,23.8,11.4,8.0,5.0,1.3,10.51,2.8,6.0,北東,16.9,83.0,58.0,9.3,0.0
2024/5/9,木,13.7,18.9,10.2,1.5,0.5,5.8,17.86,2.5,5.8,北西,10.6,70.0,33.0,6.5,0.0
2024/5/10,金,17.5,24.4,8.7,0.0,0.0,12.8,28.97,3.5,6.9,南南東,9.9,50.0,24.0,0.0,0.0
2024/5/11,土,20.3,25.9,14.1,0.0,0.0,13.0,29.4,5.4,10.1,南,14.2,61.0,40.0,1.3,0.0
2024/5/13,月,19.3,22.0,15.4,58.5,15.5,0.0,4.37,3.8,8.2,南,21.6,96.0,69.0,10.0,0.0
2024/5/14,火,16.9,21.6,12.2,0.0,1.0,8.2,22.41,2.6,4.9,北東,13.3,71.0,39.0,8.0,0.0
2024/5/15,水,19.4,25.7,13.8,1.5,1.0,8.6,24.58,2.7,5.8,南東,16.7,76.0,49.0,9.8,0.0
2024/5/16,木,18.7,25.1,14.7,10.0,5.0,5.1,15.04,4.0,9.4,南,16.9,79.0,41.0,6.0,0.0
2024/5/17,金,20.6,27.2,13.4,0.0,0.0,12.9,28.71,2.8,5.9,南南西,11.6,50.0,28.0,1.0,0.0
2024/5/18,土,21.9,28.8,16.2,0.0,0.0,12.5,28.51,2.5,5.5,南南東,15.1,59.0,31.0,5.8,0.0
2024/5/20,月,17.4,21.4,14.4,34.0,8.0,0.8,10.05,1.9,5.5,東,18.2,92.0,71.0,9.8,0.0
2024/5/21,火,22.5,28.9,16.9,0.0,0.0,7.9,22.61,2.8,6.6,南東,19.6,74.0,45.0,10.0,0.0
2024/5/22,水,20.6,25.3,18.0,0.0,0.0,6.5,21.43,3.5,5.8,南,14.7,61.0,38.0,9.3,0.0
2024/5/23,木,21.4,25.2,18.1,0.0,0.0,1.8,14.11,3.0,5.4,南,18.9,75.0,60.0,10.0,0.0
2024/5/24,金,23.3,29.0,18.1,0.0,0.0,9.3,23.66,2.5,5.9,南南西,18.7,67.0,44.0,9.3,0.0
2024/5/25,土,21.4,25.8,18.3,0.0,0.0,6.7,24.36,3.3,7.1,南東,13.0,52.0,22.0,7.5,0.0
2024/5/27,月,22.3,25.1,20.3,0.0,0.0,0.4,7.17,4.3,7.6,南,22.5,84.0,71.0,8.0,0.0
2024/5/28,火,24.0,25.9,22.4,19.0,9.5,0.1,8.07,5.2,10.2,南,27.2,91.0,77.0,9.8,0.0
2024/5/29,水,22.0,25.8,18.8,0.5,0.5,7.9,23.74,3.7,7.1,南,18.7,71.0,53.0,5.5,0.0
2024/5/30,木,22.5,27.3,17.5,0.0,0.0,5.4,19.21,3.0,5.9,南,19.8,73.0,49.0,8.5,0.0
2024/5/31,金,19.0,21.7,16.6,34.0,9.5,0.1,7.14,2.1,4.8,北西,19.7,90.0,78.0,10.0,0.0
2024/6/1,土,20.9,26.3,17.4,0.0,0.5,7.0,22.22,2.6,6.4,南南東,18.1,75.0,45.0,9.3,0.0
